"Reference","Value","URL","Name","Price","Qty"
"D13,D14,D16","CAN_RX,CAN_TX,DATA","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/SML-D14MWT86A/9448204","SML-D14MWT86A","53","3"
"F1,F2","Polyfuse","https://akizukidenshi.com/catalog/g/g114311/","MF-FSMF020X-2","20","2"
"FB1","FerriteBead","https://www.digikey.jp/ja/products/detail/murata-electronics/BLM18KG601SN1D/1982766","BLM18KG601SN1D","16","1"
"J1","CAN","https://eleshop.jp/shop/g/g7AB411/","JS-1200R-06","62","1"
"J2","ENC","https://www.digikey.jp/ja/products/detail/jst-sales-america-inc/SM05B-PASS-TBT/2773428","SM05B-PASS-TBT","116","1"
"J3,J4","SW1,SW2","https://www.digikey.jp/ja/products/detail/jst-sales-america-inc/SM02B-PASS-TBT/1788574","SM02B-PASS-TBT","84","2"
"J5","VIN","https://akizukidenshi.com/catalog/g/g118156/","XT60PW-M","100","1"
"J6","Motor","https://akizukidenshi.com/catalog/g/g118155/","XT60PW-F","100","1"
"J7","SWD","https://www.digikey.jp/ja/products/detail/jst-sales-america-inc/SM04B-SRSS-TB/926710","SM04B-SRSS-TB","81","1"
"J8","Debug","https://akizukidenshi.com/catalog/g/g114356/","5077CR-16-SMC2-BK-TR","110","1"
"Q1,Q2","Q_NMOS","https://www.digikey.jp/ja/products/detail/vishay-siliconix/SQJQ906EL-T1-GE3/6708921","SQJQ906EL-T1_GE3","442","2"
"Q3","Q_NMOS_GSD","https://akizukidenshi.com/catalog/g/g104232/","BSS138","4","1"
"R1,R10,R22,R23","420,430","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPJ431/4051257","ESR03EZPJ431","22","4"
"R2","120","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPJ121/1983454","ESR03EZPJ121","22","1"
"R3,R31,R32,R35","100","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPJ101/1983452","ESR03EZPJ101","22","4"
"R4","600","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPF5900/20506305","ESR03EZPF5900","22","1"
"R5","300","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPJ301/1762729","ESR03EZPJ301","22","1"
"R6,R7","330","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPJ331/1762730","ESR03EZPJ331","22","2"
"R8,R9,R16,R17,R26,R27","80","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPJ820/4051294","ESR03EZPJ820","22","6"
"R11,R18","1.5k","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPJ152/1983456","ESR03EZPJ152","22","2"
"R12","13k","https://www.digikey.jp/ja/products/detail/susumu/RG1608P-133-B-T5/1240478","RG1608P-133-B-T5","15","1"
"R13","2.4k","https://www.digikey.jp/ja/products/detail/susumu/RG1608P-242-B-T5/1240526","RG1608P-242-B-T5","18","1"
"R14","18k","https://www.digikey.jp/ja/products/detail/susumu/RG1608P-183-B-T5/1240502","RG1608P-183-B-T5","15","1"
"R15","3k","https://www.digikey.jp/ja/products/detail/susumu/RG1608P-302-B-T5/1240549","RG1608P-302-B-T5","15","1"
"R19,R20,R24,R25,R29,R30,R39,R40","10k","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPJ103/1762722","ESR03EZPJ103","22","8"
"R21","3.7k","https://www.digikey.jp/ja/products/detail/koa-speer-electronics-inc/RN73R1JTTD3701B25/10016282","RN73R1JTTD3701B25","15","1"
"R28","1k","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPJ102/1762721","ESR03EZPJ102","22","1"
"R33,R34","5.1k","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPJ512/1762735","ESR03EZPJ512","22","2"
"R36,R37","350","https://www.digikey.jp/ja/products/detail/susumu/RR0816P-3480-D-53A/432510","RR0816P-3480-D-53A","15","2"
"R38","660","https://www.digikey.jp/ja/products/detail/stackpole-electronics-inc/RMCF0603FT665R/1714186","RMCF0603FT665R","15","1"
"RV1,RV2","10k","https://www.digikey.jp/ja/products/detail/nidec-components-corporation/ST-4ETB103/738213","ST-4ETB103","233","2"
"SW1","CAN_R","https://www.digikey.jp/ja/products/detail/same-sky-formerly-cui-devices/SLW-913535-2A-SMT/21259974","SLW-913535-2A-SMT","87","1"
"SW2","SW_Coded","https://www.digikey.jp/ja/products/detail/same-sky-formerly-cui-devices/RDS-16S-1055-SMT-TR/12424507","RDS-16S-1055-SMT-TR","458","1"
"SW3","RESET","https://akizukidenshi.com/catalog/g/g114888/","TVAF06-A020B-R","22","1"
"U1","LED_GRB","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/SMLVN6RGB1W1/5053781","SMLVN6RGB1W1","244","1"
"U2","NJM7812SDL1","https://akizukidenshi.com/catalog/g/g110978/","NJM7812SDL1","50","1"
"U3","TLV1117-33","https://www.digikey.jp/ja/products/detail/texas-instruments/TLV1117-33CDCYR/1216718","TLV1117-33CDCYR","63","1"
